ID,DateTime,Tag,Value
244,11/13/2018 9:09:36,18:FE:34:A4:33:5E,33
245,11/13/2018 10:07:01,18:FE:34:A4:33:5E,33
246,11/13/2018 11:04:31,18:FE:34:A4:33:5E,34
247,11/13/2018 12:00:58,18:FE:34:A4:33:5E,33
248,11/13/2018 12:58:02,18:FE:34:A4:33:5E,33
249,11/13/2018 13:54:58,18:FE:34:A4:33:5E,33
250,11/13/2018 14:51:42,18:FE:34:A4:33:5E,32
251,11/13/2018 15:48:37,18:FE:34:A4:33:5E,31
252,11/13/2018 16:45:26,18:FE:34:A4:33:5E,30
253,11/13/2018 17:42:13,18:FE:34:A4:33:5E,30
254,11/13/2018 18:38:41,18:FE:34:A4:33:5E,29
255,11/13/2018 19:35:17,18:FE:34:A4:33:5E,29
256,11/13/2018 20:32:10,18:FE:34:A4:33:5E,28
257,11/13/2018 21:29:46,18:FE:34:A4:33:5E,28
258,11/13/2018 22:26:18,18:FE:34:A4:33:5E,28
259,11/13/2018 23:22:56,18:FE:34:A4:33:5E,27
260,11/14/2018 0:19:36,18:FE:34:A4:33:5E,27
261,11/14/2018 1:16:22,18:FE:34:A4:33:5E,27
262,11/14/2018 2:14:19,18:FE:34:A4:33:5E,27
263,11/14/2018 3:11:13,18:FE:34:A4:33:5E,35
264,11/14/2018 4:04:32,18:FE:34:A4:33:5E,26
265,11/14/2018 5:02:23,18:FE:34:A4:33:5E,26
266,11/14/2018 5:59:39,18:FE:34:A4:33:5E,29
267,11/14/2018 6:52:55,18:FE:34:A4:33:5E,27
268,11/14/2018 7:50:17,18:FE:34:A4:33:5E,29
269,11/14/2018 8:48:07,18:FE:34:A4:33:5E,33
270,11/14/2018 9:45:50,18:FE:34:A4:33:5E,35
271,11/14/2018 10:42:40,18:FE:34:A4:33:5E,36
272,11/14/2018 11:39:39,18:FE:34:A4:33:5E,36
273,11/14/2018 12:36:43,18:FE:34:A4:33:5E,35
274,11/14/2018 13:34:03,18:FE:34:A4:33:5E,35
275,11/14/2018 14:31:22,18:FE:34:A4:33:5E,34
276,11/14/2018 15:28:17,18:FE:34:A4:33:5E,34
277,11/14/2018 16:25:12,18:FE:34:A4:33:5E,34
278,11/14/2018 17:22:00,18:FE:34:A4:33:5E,33
279,11/14/2018 18:18:35,18:FE:34:A4:33:5E,31
280,11/14/2018 19:15:36,18:FE:34:A4:33:5E,37
281,11/14/2018 20:12:19,18:FE:34:A4:33:5E,31
282,11/14/2018 21:08:55,18:FE:34:A4:33:5E,52
283,11/14/2018 22:05:40,18:FE:34:A4:33:5E,30
284,11/14/2018 23:02:22,18:FE:34:A4:33:5E,35
285,11/14/2018 23:56:44,18:FE:34:A4:33:5E,29
286,11/15/2018 0:54:13,18:FE:34:A4:33:5E,30
287,11/15/2018 1:50:09,18:FE:34:A4:33:5E,29
288,11/15/2018 2:47:52,18:FE:34:A4:33:5E,29
289,11/15/2018 3:45:11,18:FE:34:A4:33:5E,30
290,11/15/2018 4:40:16,18:FE:34:A4:33:5E,28
291,11/15/2018 5:38:08,18:FE:34:A4:33:5E,29
292,11/15/2018 6:35:35,18:FE:34:A4:33:5E,29
293,11/15/2018 7:32:21,18:FE:34:A4:33:5E,29
294,11/15/2018 8:31:24,18:FE:34:A4:33:5E,34
295,11/15/2018 9:29:37,18:FE:34:A4:33:5E,37
296,11/15/2018 10:26:30,18:FE:34:A4:33:5E,37
297,11/15/2018 11:23:29,18:FE:34:A4:33:5E,37
298,11/15/2018 12:20:37,18:FE:34:A4:33:5E,37
299,11/15/2018 13:17:28,18:FE:34:A4:33:5E,37
300,11/15/2018 14:14:20,18:FE:34:A4:33:5E,36
301,11/15/2018 15:11:17,18:FE:34:A4:33:5E,35
302,11/15/2018 16:08:08,18:FE:34:A4:33:5E,35
303,11/15/2018 17:05:06,18:FE:34:A4:33:5E,35
304,11/15/2018 18:01:34,18:FE:34:A4:33:5E,34
305,11/15/2018 18:58:14,18:FE:34:A4:33:5E,33
306,11/15/2018 19:55:01,18:FE:34:A4:33:5E,32
307,11/15/2018 20:51:50,18:FE:34:A4:33:5E,31
308,11/15/2018 21:48:08,18:FE:34:A4:33:5E,30
309,11/15/2018 22:44:49,18:FE:34:A4:33:5E,29
310,11/15/2018 23:42:27,18:FE:34:A4:33:5E,30
311,11/16/2018 0:39:10,18:FE:34:A4:33:5E,29
312,11/16/2018 1:37:01,18:FE:34:A4:33:5E,29
313,11/16/2018 2:34:48,18:FE:34:A4:33:5E,29
314,11/16/2018 3:31:45,18:FE:34:A4:33:5E,35
315,11/16/2018 4:24:48,18:FE:34:A4:33:5E,28
316,11/16/2018 5:22:41,18:FE:34:A4:33:5E,28
317,11/16/2018 6:19:54,18:FE:34:A4:33:5E,27
318,11/16/2018 7:16:50,18:FE:34:A4:33:5E,28
319,11/16/2018 8:15:58,18:FE:34:A4:33:5E,32
320,11/16/2018 9:14:15,18:FE:34:A4:33:5E,37
321,11/16/2018 10:11:47,18:FE:34:A4:33:5E,38
322,11/16/2018 11:08:58,18:FE:34:A4:33:5E,39
323,11/16/2018 12:06:02,18:FE:34:A4:33:5E,38
324,11/16/2018 13:03:05,18:FE:34:A4:33:5E,38
325,11/16/2018 13:59:31,18:FE:34:A4:33:5E,37
326,11/16/2018 14:56:22,18:FE:34:A4:33:5E,36
327,11/16/2018 15:53:21,18:FE:34:A4:33:5E,36
328,11/16/2018 16:50:11,18:FE:34:A4:33:5E,35
329,11/16/2018 17:46:50,18:FE:34:A4:33:5E,34
330,11/16/2018 18:43:30,18:FE:34:A4:33:5E,33
331,11/16/2018 19:40:12,18:FE:34:A4:33:5E,32
332,11/16/2018 20:36:59,18:FE:34:A4:33:5E,31
333,11/16/2018 21:33:40,18:FE:34:A4:33:5E,31
334,11/16/2018 22:30:24,18:FE:34:A4:33:5E,30
335,11/16/2018 23:27:19,18:FE:34:A4:33:5E,29
336,11/17/2018 0:24:13,18:FE:34:A4:33:5E,29
